"Id.Proceso.CNA","Institución","Estado de acreditación","Años de acreditación","Duración del programa (trimestres)","¿Tiene inclusión o diversidad en el perfil de egreso?","¿Tiene ramos de inclusión?","Cantidad de ramos de inclusión","Carrera"
"PREG-00037-04-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Acreditada",6,20,"No","Si",1,"PEDAGOGÍA EN EDUCACIÓN PARVULARIA"
"PREG-00210-04-00","UNIVERSIDAD AUTÓNOMA DE CHILE","Acreditada",6,16,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN PARVULARIA"
"PREG-00474-03-00","UNIVERSIDAD DE LA SERENA","Acreditada",4,20,"Si","Si",3,"PEDAGOGÍA EN EDUCACIÓN PARVULARIA"
"PREG-00520-05-00","UNIVERSIDAD DE MAGALLANES","Acreditada",5,20,"No","Si",1,"PEDAGOGÍA EN EDUCACIÓN PARVULARIA"
"PREG-00706-04-00","UNIVERSIDAD DIEGO PORTALES","Acreditada",6,16,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN PARVULARIA"
"PREG-01483-03-00","UNIVERSIDAD DE CHILE","Acreditada",5,20,"Si","Si",3,"PEDAGOGÍA EN EDUCACIÓN PARVULARIA"
"PREG-01983-02-00","UNIVERSIDAD DE O HIGGINS","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN PARVULARIA"
"PREG-02021-02-00","UNIVERSIDAD AUSTRAL DE CHILE","Acreditada",2,,,,,"PEDAGOGÍA EN EDUCACIÓN PARVULARIA"
"PREG-00736-05-00","UNIVERSIDAD MAYOR","Acreditada",5,20,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN PARVULARIA"
"PREG-00216-05-00","UNIVERSIDAD BERNARDO O HIGGINS","Acreditada",4,18,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN PARVULARIA"
"PREG-00713-04-00","UNIVERSIDAD FINIS TERRAE","Acreditada",,20,"No","Si",1,"PEDAGOGÍA EN EDUCACIÓN PARVULARIA"
"PREG-00766-03-00","UNIVERSIDAD SAN SEBASTIÁN","Acreditada",5,20,"Si","Si",2,"EDUCACIÓN PARVULARIA"
"PREG-00644-05-00","UNIVERSIDAD VIÑA DEL MAR","Acreditada",,18,"Si","Si",1,"EDUCACIÓN PARVULARIA"
"PREG-00599-04-00","UNIVERSIDAD DE TARAPACÁ","Acreditada",3,16,"Si","Si",3,"EDUCACIÓN PARVULARIA"
"PREG-00630-04-00","UNIVERSIDAD DE VALPARAÍSO","Acreditada",6,18,"Si","Si",1,"EDUCACIÓN PARVULARIA"
"PREG-00508-05-00","UNIVERSIDAD DE LOS LAGOS","Acreditada",4,20,"Si","Si",4,"EDUCACIÓN PARVULARIA"
"PREG-00533-04-00","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",5,16,"No","Si",1,"EDUCACIÓN PARVULARIA"
"PREG-00494-05-00","UNIVERSIDAD DE LAS AMÉRICAS","Acreditada",3,20,"Si","Si",1,"EDUCACIÓN PARVULARIA"
"PREG-00404-04-00","UNIVERSIDAD DE CONCEPCIÓN","Acreditada",7,20,"Si","Si",1,"EDUCACIÓN PARVULARIA"
"PREG-00309-04-00","UNIVERSIDAD CENTRAL DE CHILE","Acreditada",6,20,"Si","Si",3,"EDUCACIÓN PARVULARIA"
"PREG-00294-04-00","UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ","Acreditada",5,20,"Si","Si",3,"EDUCACIÓN PARVULARIA"
"PREG-00129-04-00","UNIVERSIDAD ADVENTISTA DE CHILE","Acreditada",4,20,"Si","Si",1,"EDUCACIÓN PARVULARIA"
"PREG-00137-04-00","UNIVERSIDAD ALBERTO HURTADO","Acreditada",6,20,"No","Si",1,"EDUCACIÓN PARVULARIA"
"PREG-00150-05-00","UNIVERSIDAD ANDRÉS BELLO","Acreditada",4,18,"Si","Si",3,"EDUCACIÓN PARVULARIA"
"PREG-00160-04-00","UNIVERSIDAD ARTURO PRAT","Acreditada",4,20,"Si","Si",2,"EDUCACIÓN PARVULARIA"
"PREG-00073-06-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO","Acreditada",6,20,"Si","Si",1,"EDUCACIÓN PARVULARIA"
"PREG-00234-05-00","UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Acreditada",5,18,"Si","Si",2,"EDUCACIÓN DE PÁRVULOS"
"PREG-00248-04-00","UNIVERSIDAD CATÓLICA DE TEMUCO","Acreditada",5,18,"Si","Si",2,"EDUCACIÓN DE PÁRVULOS"
"PREG-00429-04-00","UNIVERSIDAD DE CONCEPCIÓN","Acreditada",6,20,"Si","Si",1,"EDUCACIÓN GENERAL BÁSICA"
"PREG-01463-03-00","UNIVERSIDAD DE CHILE","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN BÁSICA"
"PREG-00238-04-00","UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Acreditada",4,20,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN BÁSICA"
"PREG-01979-02-00","UNIVERSIDAD DE O HIGGINS","Acreditada",5,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN BÁSICA"
"PREG-00103-04-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO","Acreditada",6,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN BÁSICA"
"PREG-00136-04-00","UNIVERSIDAD ALBERTO HURTADO","Acreditada",6,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN BÁSICA"
"PREG-01027-04-00","UNIVERSIDAD SAN SEBASTIÁN","Acreditada",,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN BÁSICA"
"PREG-00298-04-00","UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ","Acreditada",4,20,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN BÁSICA"
"PREG-00118-04-00","UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO","Acreditada",3,20,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN BÁSICA"
"PREG-00163-04-00","UNIVERSIDAD ARTURO PRAT","Acreditada",3,18,"No","Si",3,"PEDAGOGÍA EN EDUCACIÓN BÁSICA"
"PREG-00611-03-00","UNIVERSIDAD DE TARAPACÁ","Acreditada",4,16,"No","Si",2,"PEDAGOGÍA EN EDUCACIÓN BÁSICA"
"PREG-00495-05-00","UNIVERSIDAD DE LAS AMÉRICAS","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN BÁSICA"
"PREG-00530-05-00","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",4,18,"No","Si",1,"PEDAGOGÍA EN EDUCACIÓN BÁSICA"
"PREG-00403-05-00","UNIVERSIDAD DE CONCEPCIÓN","Acreditada",6,20,"Si","Si",5,"EDUCACIÓN DIFERENCIAL"
"PREG-00775-04-00","UNIVERSIDAD SANTO TOMÁS","Acreditada",3,20,"Si","Si",5,"EDUCACIÓN DIFERENCIAL"
"PREG-00538-06-00","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",6,16,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL"
"PREG-00484-03-00","UNIVERSIDAD DE LA SERENA","Acreditada",5,20,"Si","Si",6,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL"
